decision_date,rate_change,decision,sentiment_date,sentiment,sentiment_dict,days_difference
2019-05-01,0.0,No Change,2019-04-01,0.0314492583274841,"{'positive': 0.13458651304244995, 'negative': 0.10313725471496582, 'neutral': 0.762276291847229}",30
2019-06-19,0.0,No Change,2019-06-01,0.0611845627427101,"{'positive': 0.15072958171367645, 'negative': 0.08954501897096634, 'neutral': 0.7597253918647766}",18
2019-07-31,-0.25,Decrease,2019-07-01,-0.248107299208641,"{'positive': 0.11597059667110443, 'negative': 0.3640778958797455, 'neutral': 0.5199515223503113}",30
2019-09-18,-0.25,Decrease,2019-09-01,0.1544977873563766,"{'positive': 0.29229652881622314, 'negative': 0.1377987414598465, 'neutral': 0.5699046850204468}",17
2019-10-30,-0.25,Decrease,2019-10-01,0.0410661995410919,"{'positive': 0.3136984705924988, 'negative': 0.27263227105140686, 'neutral': 0.41366925835609436}",29
2019-12-11,0.0,No Change,2019-11-01,0.0269214138388633,"{'positive': 0.1435987800359726, 'negative': 0.11667736619710922, 'neutral': 0.7397239208221436}",40
2020-03-03,-0.5,Decrease,2020-03-01,-0.0194353908300399,"{'positive': 0.14864090085029602, 'negative': 0.168076291680336, 'neutral': 0.6832827925682068}",2
2020-03-15,-1.0,Decrease,2020-03-01,-0.0194353908300399,"{'positive': 0.14864090085029602, 'negative': 0.168076291680336, 'neutral': 0.6832827925682068}",14
2020-04-29,0.0,No Change,2020-04-01,-0.9269011728465556,"{'positive': 0.012346196919679642, 'negative': 0.9392473697662354, 'neutral': 0.048406507819890976}",28
2020-06-10,0.0,No Change,2020-05-01,-0.8443996757268906,"{'positive': 0.025148704648017883, 'negative': 0.8695483803749084, 'neutral': 0.10530292242765427}",40
2020-07-29,0.0,No Change,2020-07-01,-0.452901542186737,"{'positive': 0.07076174020767212, 'negative': 0.5236632823944092, 'neutral': 0.40557506680488586}",28
2020-09-16,0.0,No Change,2020-09-01,-0.0848576873540878,"{'positive': 0.15598799288272858, 'negative': 0.2408456802368164, 'neutral': 0.6031663417816162}",15
2020-11-05,0.0,No Change,2020-10-01,0.1553322374820709,"{'positive': 0.24460211396217346, 'negative': 0.08926987648010254, 'neutral': 0.6661280393600464}",35
2020-12-16,0.0,No Change,2020-12-01,-0.1117472201585769,"{'positive': 0.15390412509441376, 'negative': 0.2656513452529907, 'neutral': 0.5804445147514343}",15
2021-01-27,0.0,No Change,2021-01-01,-0.5238687545061111,"{'positive': 0.10391156375408173, 'negative': 0.6277803182601929, 'neutral': 0.2683080732822418}",26
2021-03-17,0.0,No Change,2021-03-01,-0.0662297457456588,"{'positive': 0.11905452609062195, 'negative': 0.18528427183628082, 'neutral': 0.695661187171936}",16
2021-04-28,0.0,No Change,2021-04-01,0.0384543761610984,"{'positive': 0.11209944635629654, 'negative': 0.07364507019519806, 'neutral': 0.8142554759979248}",27
2021-06-16,0.0,No Change,2021-06-01,0.1686634123325348,"{'positive': 0.2441217452287674, 'negative': 0.0754583328962326, 'neutral': 0.6804199814796448}",15
2021-07-28,0.0,No Change,2021-07-01,0.1311807408928871,"{'positive': 0.25444725155830383, 'negative': 0.12326651066541672, 'neutral': 0.6222862005233765}",27
2021-09-22,0.0,No Change,2021-09-01,0.0674169436097145,"{'positive': 0.1506205052137375, 'negative': 0.08320356160402298, 'neutral': 0.7661759257316589}",21
2021-11-03,0.0,No Change,2021-10-01,-0.0355467498302459,"{'positive': 0.1647404432296753, 'negative': 0.20028719305992126, 'neutral': 0.634972333908081}",33
2021-12-15,0.0,No Change,2021-12-01,0.1408119052648544,"{'positive': 0.23543699085712433, 'negative': 0.0946250855922699, 'neutral': 0.6699379086494446}",14
2022-03-16,0.25,Increase,2022-03-01,-0.1158030331134796,"{'positive': 0.13864293694496155, 'negative': 0.25444597005844116, 'neutral': 0.6069111227989197}",15
2022-05-04,0.5,Increase,2022-04-01,0.1569711342453956,"{'positive': 0.2620031237602234, 'negative': 0.10503198951482773, 'neutral': 0.6329649090766907}",33
2022-06-15,0.75,Increase,2022-06-01,0.0832574367523193,"{'positive': 0.22635871171951294, 'negative': 0.1431012749671936, 'neutral': 0.6305399537086487}",14
2022-07-27,0.75,Increase,2022-07-01,-0.2222590744495391,"{'positive': 0.12690895795822144, 'negative': 0.3491680324077606, 'neutral': 0.5239229798316956}",26
2022-09-21,0.75,Increase,2022-09-01,-0.0720970928668975,"{'positive': 0.15316401422023773, 'negative': 0.22526110708713531, 'neutral': 0.621574878692627}",20
2022-11-02,0.75,Increase,2022-11-01,-0.0840714126825332,"{'positive': 0.2124125212430954, 'negative': 0.29648393392562866, 'neutral': 0.4911035895347595}",1
2022-12-14,0.5,Increase,2022-11-01,-0.0840714126825332,"{'positive': 0.2124125212430954, 'negative': 0.29648393392562866, 'neutral': 0.4911035895347595}",43
2023-02-01,0.25,Increase,2023-01-01,-0.4912158399820328,"{'positive': 0.1321626752614975, 'negative': 0.6233785152435303, 'neutral': 0.24445873498916626}",31
2023-03-22,0.25,Increase,2023-03-01,0.2341015934944152,"{'positive': 0.3690004050731659, 'negative': 0.1348988115787506, 'neutral': 0.4961007833480835}",21
2023-05-03,0.25,Increase,2023-05-01,-0.0476428642868995,"{'positive': 0.10264938324689865, 'negative': 0.15029224753379822, 'neutral': 0.7470583915710449}",2
2023-07-26,0.25,Increase,2023-07-01,-0.6194019541144371,"{'positive': 0.06154672056436539, 'negative': 0.6809486746788025, 'neutral': 0.2575046420097351}",25
2023-09-20,0.0,No Change,2023-09-01,-0.0702098309993743,"{'positive': 0.151346817612648, 'negative': 0.2215566486120224, 'neutral': 0.6270965337753296}",19
2023-11-01,0.0,No Change,2023-11-01,-0.2880845963954925,"{'positive': 0.1342780888080597, 'negative': 0.42236268520355225, 'neutral': 0.4433591961860657}",0
2023-12-13,0.0,No Change,2023-11-01,-0.2880845963954925,"{'positive': 0.1342780888080597, 'negative': 0.42236268520355225, 'neutral': 0.4433591961860657}",42
2024-02-01,0.0,No Change,2024-02-01,0.1182866245508194,"{'positive': 0.2851625084877014, 'negative': 0.16687588393688202, 'neutral': 0.5479615926742554}",0
2024-03-21,0.0,No Change,2024-02-01,0.1182866245508194,"{'positive': 0.2851625084877014, 'negative': 0.16687588393688202, 'neutral': 0.5479615926742554}",49
2024-05-01,0.0,No Change,2024-05-01,0.1277856677770614,"{'positive': 0.24458256363868713, 'negative': 0.11679689586162567, 'neutral': 0.6386205554008484}",0
2024-06-12,0.0,No Change,2024-05-01,0.1277856677770614,"{'positive': 0.24458256363868713, 'negative': 0.11679689586162567, 'neutral': 0.6386205554008484}",42
2024-07-31,0.0,No Change,2024-07-01,0.0332348048686981,"{'positive': 0.13647617399692535, 'negative': 0.10324136912822723, 'neutral': 0.7602825164794922}",30
2024-09-18,-0.5,Decrease,2024-08-01,-0.2744825631380081,"{'positive': 0.13396434485912323, 'negative': 0.40844690799713135, 'neutral': 0.45758873224258423}",48
